snapshot_index,source,timestamp_mmss,timestamp_sec,frame_index,width,height,edge_pixels,edge_density,skeleton_pixels,skeleton_density,delaunay_points,delaunay_triangles,delaunay_edges,voronoi_vertices,voronoi_ridges,voronoi_enclosed_cells,image_enclosed_cells,graph_vertices,graph_edges_est,intersection_points,endpoints,veins,arteries,total_vein_length_px,total_artery_length_px,longest_vein_px,longest_artery_px,mean_vein_length_px,mean_artery_length_px,simulon_count,simulon_density,simulon_field_energy,simulon_entropy,simulon_cohesion,vein_to_artery_length_ratio,artery_to_vein_length_ratio,net_complexity_index,enclosure_total,vascular_total_length_px,artery_share_of_length,simulon_per_intersection
36,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:47.32,107.32,2683,1280,720,209116,0.22690538194444446,164271,0.17824544270833334,1600,3169,4768,3168,4767,1486,276,58793,182757,43245,15548,1099,734,31516.0,128349.0,304.0,14495.0,28.67697907188353,174.8623978201635,45007,0.04883572048611111,9446.027139756945,0.9763856845776395,0.9945765540258656,0.2455492446376676,4.072502855692346,0.5464743886680473,1762,159865.0,0.8028586619960592,1.0407445947508382
37,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:50.36,110.36,2759,1280,720,207431,0.22507703993055556,160664,0.17433159722222222,1600,3177,4776,3176,4775,1497,95,47573,172515,32759,14814,1557,1039,43548.0,110772.0,198.0,5198.0,27.96917148362235,106.614051973051,34351,0.03727322048611111,7121.72386892361,0.9824243374191123,0.9962453066332916,0.3931318383707074,2.543675943786167,0.5369108542154416,1592,154320.0,0.7178071539657854,1.0485973320308923
38,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:53.40,113.4,2835,1280,720,207431,0.22507703993055556,160664,0.17433159722222222,1600,3177,4776,3176,4775,1497,95,47573,172515,32759,14814,1557,1039,43548.0,110772.0,198.0,5198.0,27.96917148362235,106.614051973051,34351,0.03727322048611111,7121.72386892361,0.9824243374191123,0.9962453066332916,0.3931318383707074,2.543675943786167,0.5369108542154416,1592,154320.0,0.7178071539657854,1.0485973320308923
39,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:56.40,116.4,2910,1280,720,207696,0.22536458333333334,163254,0.17714192708333334,1600,3171,4770,3171,4770,1475,454,52826,177845,37389,15437,1467,979,33987.0,122574.0,215.0,3889.0,23.167689161554193,125.20326864147088,39318,0.04266276041666667,8197.486734700522,0.969228435837997,0.9949937421777222,0.2772773997748299,3.6064966016418043,0.5392263818602505,1929,156561.0,0.7829152854159082,1.0515927144347268
40,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,01:59.44,119.44,2986,1280,720,217170,0.23564453125,170457,0.18495768229166668,1600,3181,4780,3180,4779,1483,241,54721,185595,38883,15838,1548,1033,34572.0,128846.0,169.0,6005.0,22.333333333333332,124.729912875121,40607,0.044061414930555556,8848.651078125,0.9780897172359287,0.9970796829370046,0.2683203203824721,3.7268888117551775,0.5460739368236198,1724,163418.0,0.7884443574147278,1.0443381426330274
41,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:02.44,122.44,3061,1280,720,217170,0.23564453125,170457,0.18495768229166668,1600,3181,4780,3180,4779,1483,241,54721,185595,38883,15838,1548,1033,34572.0,128846.0,169.0,6005.0,22.333333333333332,124.729912875121,40607,0.044061414930555556,8848.651078125,0.9780897172359287,0.9970796829370046,0.2683203203824721,3.7268888117551775,0.5460739368236198,1724,163418.0,0.7884443574147278,1.0443381426330274
42,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:05.48,125.48,3137,1280,720,131625,0.142822265625,104702,0.11360894097222222,1600,3178,4777,3178,4777,1492,351,26326,110588,17443,8883,1151,767,30851.0,71567.0,172.0,2164.0,26.80364900086881,93.3076923076923,19286,0.020926649305555555,2557.4099497070315,0.9630061379486685,0.9964539007092199,0.43107856973185965,2.3197627305435806,0.49200285771162366,1843,102418.0,0.6987736530687965,1.105658430315886
43,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:08.52,128.52,3213,1280,720,131625,0.142822265625,104702,0.11360894097222222,1600,3178,4777,3178,4777,1492,351,26326,110588,17443,8883,1151,767,30851.0,71567.0,172.0,2164.0,26.80364900086881,93.3076923076923,19286,0.020926649305555555,2557.4099497070315,0.9630061379486685,0.9964539007092199,0.43107856973185965,2.3197627305435806,0.49200285771162366,1843,102418.0,0.6987736530687965,1.105658430315886
44,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:11.52,131.52,3288,1280,720,247781,0.26885959201388887,192735,0.209130859375,1600,3178,4777,3178,4777,1470,1045,53211,205068,36447,16764,1207,805,22435.0,162674.0,145.0,8465.0,18.587406793703398,202.07950310559005,38962,0.04227647569444445,9661.052570203992,0.9856939074692415,0.9964539007092199,0.13791386453889373,7.250902607532873,0.5567966926008449,2515,185109.0,0.8788011387884976,1.0690043076247702
45,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,02:14.56,134.56,3364,1280,720,196234,0.21292751736111112,156331,0.16962999131944445,1600,3176,4775,3176,4775,1479,314,45727,167560,31174,14553,1401,934,38958.0,112227.0,645.0,5081.0,27.80728051391863,120.15738758029978,32967,0.035771484375,6520.192898871528,0.9785170567357528,0.9960367125573634,0.3471357160041701,2.8807176959802865,0.5303356469874309,1793,151185.0,0.7423157059232066,1.057515878616796
