frame_number,frame_index,timestamp_sec,timestamp_mmss,state_index,segment_index,segment_start_frame,segment_end_frame_exclusive,segment_length_frames,propagated_from_keyframe,visual_state_method,source,width,height,edge_pixels,edge_density,skeleton_pixels,skeleton_density,delaunay_points,delaunay_triangles,delaunay_edges,voronoi_vertices,voronoi_ridges,voronoi_enclosed_cells,image_enclosed_cells,graph_vertices,graph_edges_est,intersection_points,endpoints,veins,arteries,total_vein_length_px,total_artery_length_px,longest_vein_px,longest_artery_px,mean_vein_length_px,mean_artery_length_px,simulon_count,simulon_density,simulon_field_energy,simulon_entropy,simulon_cohesion,vein_to_artery_length_ratio,artery_to_vein_length_ratio,enclosure_total,vascular_total_length_px,artery_share_of_length,simulon_per_intersection,net_complexity_index,frame_fraction,time_bin_100
31,30,1.2,00:01.20,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.003968778939013097,1
32,31,1.24,00:01.24,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.004101071570313534,1
33,32,1.28,00:01.28,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.00423336420161397,1
34,33,1.32,00:01.32,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.004365656832914407,1
35,34,1.36,00:01.36,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.004497949464214843,1
36,35,1.4,00:01.40,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.004630242095515279,1
37,36,1.44,00:01.44,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.004762534726815717,1
38,37,1.48,00:01.48,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.004894827358116153,1
39,38,1.52,00:01.52,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.0050271199894165895,1
40,39,1.56,00:01.56,1,1,0,125,125,0,segment-keyframe-propagated,clideo_editor_13d9c85214c64cfaaf58122f95277d19.mp4,1280,720,218152,0.23671006944444445,171078,0.18563151041666667,1600,3171,4770,3171,4770,1491,252,64334,192245,47945,16389,983,656,27201.0,139514.0,235.0,20259.0,27.671414038657172,212.6737804878049,49688,0.05391493055555555,10873.571758789061,0.9767975936134351,0.9949937421777222,0.19496968046217583,5.129002610198154,1743,166715.0,0.8368413160183547,1.036354155803525,0.5529582921944707,0.005159412620717026,1
